gene,betahat,sebetahat,w0,w1,w2,w3
Gene1,-0.2622693711486405,0.11647867871557487,0.21,0.235,0.26,0.295
Gene10,0.026425881563948855,0.11719793139558264,0.21,0.235,0.26,0.295
Gene11,0.10378497515747648,0.10823123720210595,0.21,0.235,0.26,0.295
Gene12,0.2727051738034467,0.11662938741653876,0.21,0.235,0.26,0.295
Gene13,-0.35542344615425675,0.11807404697924798,0.21,0.235,0.26,0.295
Gene14,0.18871639344471391,0.1238927563735961,0.21,0.235,0.26,0.295
Gene15,0.1113899739673779,0.11443918253967118,0.21,0.235,0.26,0.295
Gene16,-0.25241402159290904,0.10616171792974023,0.21,0.235,0.26,0.295
Gene17,0.003670796815215721,0.10362159644772985,0.21,0.235,0.26,0.295
Gene18,0.2890177030737512,0.11789914310770075,0.21,0.235,0.26,0.295
Gene19,-0.27132522086222877,0.12495126560492012,0.21,0.235,0.26,0.295
Gene2,0.24656577529057092,0.1040802090958692,0.21,0.235,0.26,0.295
Gene20,0.06876466436499029,0.1242593760702578,0.21,0.235,0.26,0.295
Gene21,-0.25762627060715154,0.11829910849252774,0.21,0.235,0.26,0.295
Gene22,-0.17169816935851853,0.12576652197608357,0.21,0.235,0.26,0.295
Gene23,0.038348402314051795,0.10925209123753711,0.21,0.235,0.26,0.295
Gene24,0.44306167119666917,0.13265561732762854,0.21,0.235,0.26,0.295
Gene25,-0.4249411223586819,0.12170886751744124,0.21,0.235,0.26,0.295
Gene26,0.3351748618488592,0.1160432577050028,0.21,0.235,0.26,0.295
Gene27,-0.1304525167093874,0.10349045434016128,0.21,0.235,0.26,0.295
Gene28,-0.47390463954024037,0.12414400880383533,0.21,0.235,0.26,0.295
Gene29,-0.10692579998571163,0.09601903281653382,0.21,0.235,0.26,0.295
Gene3,-0.04497677754471661,0.10377283029763992,0.21,0.235,0.26,0.295
Gene30,-0.47265851648272933,0.11907645587513797,0.21,0.235,0.26,0.295
Gene4,-0.001601365016115958,0.12013920718272791,0.21,0.235,0.26,0.295
Gene5,0.18285219945876743,0.11604064527950675,0.21,0.235,0.26,0.295
Gene6,-0.0016695510935183858,0.11233339676978707,0.21,0.235,0.26,0.295
Gene7,0.08846929516218666,0.1189607109583847,0.21,0.235,0.26,0.295
Gene8,0.42357071202594826,0.1109090828723033,0.21,0.235,0.26,0.295
Gene9,-0.05968571292312701,0.11627826581075196,0.21,0.235,0.26,0.295
