s_time,s_guide,seed,rmse,corr,sign_acc
1.0,1.0,0,0.39540914962766643,0.5563074914638028,0.7333333333333333
1.0,1.0,1,0.39942169369011754,0.5656766018118203,0.7333333333333333
1.0,0.5,0,0.39567089016828355,0.5563859462145452,0.7333333333333333
1.0,0.5,1,0.3995362438671056,0.5657136907170573,0.7333333333333333
1.0,0.3,0,0.3958277909815822,0.5564445888029546,0.7333333333333333
1.0,0.3,1,0.3998365564032066,0.5658228070644037,0.7333333333333333
1.0,0.1,0,0.40401008865132504,0.5587260512940174,0.7333333333333333
1.0,0.1,1,0.405623181169878,0.5679770798494473,0.7333333333333333
0.5,1.0,0,0.3945512760260477,0.5562006861515284,0.7333333333333333
0.5,1.0,1,0.3989806301697415,0.565627185436587,0.7333333333333333
0.5,0.5,0,0.39481315926395905,0.5562791894642252,0.7333333333333333
0.5,0.5,1,0.399097387443163,0.5656632292336149,0.7333333333333333
0.5,0.3,0,0.39497008391003635,0.5563399588745298,0.7333333333333333
0.5,0.3,1,0.3993972671409191,0.5657735345094004,0.7333333333333333
0.5,0.1,0,0.4030780119892836,0.5586397065483395,0.7333333333333333
0.5,0.1,1,0.4051335872265613,0.5679057680709086,0.7333333333333333
0.3,1.0,0,0.39315428982727835,0.5560101580880991,0.7333333333333333
0.3,1.0,1,0.3971162260648603,0.5654165814748021,0.7333333333333333
0.3,0.5,0,0.393409456978626,0.556084887849696,0.7333333333333333
0.3,0.5,1,0.3972267618914608,0.5654547005702372,0.7333333333333333
0.3,0.3,0,0.3935694294331558,0.5561419619620025,0.7333333333333333
0.3,0.3,1,0.39751565477487133,0.5655629463519395,0.7333333333333333
0.3,0.1,0,0.40153928831676033,0.5584600231199441,0.7333333333333333
0.3,0.1,1,0.40328989995408226,0.5677255147215137,0.7333333333333333
0.1,1.0,0,0.3680186831626555,0.5511142871502649,0.7
0.1,1.0,1,0.3691579480469508,0.5601925265230938,0.7
0.1,0.5,0,0.3682783661769293,0.5511957683208248,0.7
0.1,0.5,1,0.3692668143510776,0.5602303482107472,0.7
0.1,0.3,0,0.3684297230273785,0.5512457950360844,0.7
0.1,0.3,1,0.3695502973348668,0.5603465441869486,0.7
0.1,0.1,0,0.3759497249864112,0.553259882596858,0.7
0.1,0.1,1,0.3750439291497966,0.5625171585464219,0.7
