s_tau,s_time,s_guide,seed,rmse,corr,sign_acc
1.0,0.3,0.5,0,0.393409456978626,0.556084887849696,0.7333333333333333
1.0,0.3,0.5,1,0.3972267618914608,0.5654547005702372,0.7333333333333333
0.7,0.3,0.5,0,0.3929259305332672,0.5563196057036571,0.7333333333333333
0.7,0.3,0.5,1,0.39671482586817114,0.5656591537788486,0.7333333333333333
0.5,0.3,0.5,0,0.39199999643367806,0.5567656582307271,0.7333333333333333
0.5,0.3,0.5,1,0.3955487457943555,0.566127305775566,0.7333333333333333
0.3,0.3,0.5,0,0.3884438380945074,0.5584952254042762,0.7333333333333333
0.3,0.3,0.5,1,0.39214176974541437,0.5675693422533552,0.7666666666666667
0.1,0.3,0.5,0,0.3576456153796208,0.5746468274944642,0.7333333333333333
0.1,0.3,0.5,1,0.35945374723448836,0.5831648034755282,0.7333333333333333
